248|158|1259|msie|0
254|188|1259|msie|0
287|167|1259|msie|0
213|167|1259|msie|0
175|187|1259|msie|0
75|188|1259|msie|0
418|184|1259|msie|0
284|204|920|msie|0
307|124|920|msie|0
162|91|920|msie|0
153|95|920|msie|0
161|105|920|msie|0
160|112|920|msie|0
150|149|920|msie|0
146|176|920|msie|0
205|118|920|msie|0
178|101|920|msie|0
215|440|920|msie|0
103|104|920|msie|0
114|185|920|msie|0
894|80|920|msie|0
97|32|920|msie|0
117|110|920|msie|0
233|149|920|msie|0
57|152|920|msie|0
285|151|920|msie|0
296|148|920|msie|0
65|150|920|msie|0
95|31|920|msie|0
212|94|920|msie|0
56|99|920|msie|0
212|387|920|msie|0
99|28|920|msie|0
768|21|920|msie|0
100|26|920|msie|0
209|116|920|msie|0
208|159|920|msie|0
113|26|920|msie|0
290|104|920|msie|0
223|118|920|msie|0
211|217|920|msie|0
206|248|920|msie|0
444|109|1259|msie|0
276|320|920|msie|0
