94|19|941|msie|0
100|26|941|msie|0
46|19|941|msie|0
10|26|941|msie|0
48|20|941|msie|0
307|165|941|msie|0
216|160|941|msie|0
197|385|1259|msie|0
85|116|1259|msie|0
87|21|1259|msie|0
148|394|1259|msie|0
749|19|1259|msie|0
92|107|1259|msie|0
140|142|1259|msie|0
211|380|1440|firefox|1
429|27|1440|firefox|1
370|23|1440|firefox|1
825|505|1440|firefox|1
159|119|920|msie|0
92|23|920|msie|0
408|21|1440|firefox|1
467|483|920|msie|0
89|24|920|msie|0
102|26|920|msie|0
511|388|1440|firefox|1
573|517|1440|firefox|1
641|461|1440|firefox|1
1251|350|1440|firefox|1
490|27|1440|firefox|1
26|28|1440|firefox|1
838|448|1440|firefox|1
447|463|1440|firefox|1
688|442|1440|firefox|1
1413|248|1440|firefox|1
36|23|1440|firefox|1
16|22|1440|firefox|1
718|552|1440|firefox|1
91|24|920|msie|0
431|461|920|msie|0
368|474|920|msie|0
151|30|920|msie|0
97|120|920|msie|0
100|28|920|msie|0
158|18|920|msie|0
89|27|920|msie|0
39|24|920|msie|0
350|446|920|msie|0
444|437|920|msie|0
678|30|920|msie|0
16|27|920|msie|0
37|24|920|msie|0
105|27|920|msie|0
481|446|920|msie|0
481|446|920|msie|0
475|463|920|msie|0
298|492|920|msie|0
756|24|1440|firefox|1
737|18|1440|firefox|1
730|24|1440|firefox|1
868|18|1440|firefox|1
815|20|1440|firefox|1
738|20|1440|firefox|1
672|22|1440|firefox|1
582|23|1440|firefox|1
21|22|1440|firefox|1
64|14|1440|firefox|1
855|25|1440|firefox|1
41|24|1440|firefox|1
628|445|1440|firefox|1
25|22|1440|firefox|1
83|20|1440|firefox|1
29|24|1440|firefox|1
187|23|1440|firefox|1
148|16|1440|firefox|1
96|23|1440|firefox|1
23|20|1440|firefox|1
607|589|1440|firefox|1
22|493|1440|firefox|1
80|24|1440|firefox|1
142|19|1440|firefox|1
181|19|1440|firefox|1
407|407|1440|firefox|3
287|569|1440|firefox|1
394|381|1440|firefox|1
6|23|1440|firefox|1
74|19|1440|firefox|1
377|17|1440|firefox|1
30|255|1440|firefox|1
31|23|1440|firefox|1
25|17|1440|firefox|1
17|18|1440|firefox|1
20|19|1440|firefox|1
85|26|1440|firefox|1
31|25|1440|firefox|1
84|23|1440|firefox|1
275|416|1440|firefox|1
